page_type,scope,total_possible,existing,missing,coverage_pct,note
service-city (есть),/{service}/v-{city}/,720,720,0,100%,насыщено в ЭТАП-1..5 — не дублируем
price,/remont-vannoy/cena/v-{city}/,40,0,40,0%,"Ремонт ванной комнаты: цена×город, value=0.85"
turnkey,/remont-vannoy/pod-klyuch/v-{city}/,40,0,40,0%,"Ремонт ванной комнаты: под ключ×город, priceMult=1"
price,/remont-kuhni/cena/v-{city}/,40,0,40,0%,"Ремонт кухни: цена×город, value=0.82"
turnkey,/remont-kuhni/pod-klyuch/v-{city}/,40,0,40,0%,"Ремонт кухни: под ключ×город, priceMult=1"
price,/natyazhnye-potolki/cena/v-{city}/,40,0,40,0%,"Натяжные потолки: цена×город, value=0.7"
price,/ustanovka-dverey/cena/v-{city}/,40,0,40,0%,"Установка дверей: цена×город, value=0.6"
price,/elektromontazh/cena/v-{city}/,40,0,40,0%,"Электромонтажные работы: цена×город, value=0.6"
turnkey,/elektromontazh/pod-klyuch/v-{city}/,40,0,40,0%,"Электромонтажные работы: под ключ×город, priceMult=1"
price,/santehnicheskie-raboty/cena/v-{city}/,40,0,40,0%,"Сантехнические работы: цена×город, value=0.6"
turnkey,/santehnicheskie-raboty/pod-klyuch/v-{city}/,40,0,40,0%,"Сантехнические работы: под ключ×город, priceMult=1"
price,/dizayn-interyera/cena/v-{city}/,40,0,40,0%,"Дизайн интерьера: цена×город, value=0.9"
price,/balkony-i-lodzhii/cena/v-{city}/,40,0,40,0%,"Ремонт балконов и лоджий: цена×город, value=0.58"
turnkey,/balkony-i-lodzhii/pod-klyuch/v-{city}/,40,0,40,0%,"Ремонт балконов и лоджий: под ключ×город, priceMult=1"
price,/styazhka-pola/cena/v-{city}/,40,0,40,0%,"Стяжка пола: цена×город, value=0.55"
price,/poklejka-oboev/cena/v-{city}/,40,0,40,0%,"Поклейка обоев: цена×город, value=0.42"
turnkey,/poklejka-oboev/pod-klyuch/v-{city}/,40,0,40,0%,"Поклейка обоев: под ключ×город, priceMult=1"
price,/uborka-posle-remonta/cena/v-{city}/,40,0,40,0%,"Уборка после ремонта: цена×город, value=0.32"
turnkey,/uborka-posle-remonta/pod-klyuch/v-{city}/,40,0,40,0%,"Уборка после ремонта: под ключ×город, priceMult=1"
price,/snos-i-demontazh/cena/v-{city}/,40,0,40,0%,"Снос и демонтаж: цена×город, value=0.35"
turnkey,/snos-i-demontazh/pod-klyuch/v-{city}/,40,0,40,0%,"Снос и демонтаж: под ключ×город, priceMult=1"
price,/zvukoizolyatsiya/cena/v-{city}/,40,0,40,0%,"Звукоизоляция квартиры: цена×город, value=0.5"
turnkey,/zvukoizolyatsiya/pod-klyuch/v-{city}/,40,0,40,0%,"Звукоизоляция квартиры: под ключ×город, priceMult=1"
price,/uteplenie-balkona/cena/v-{city}/,40,0,40,0%,"Утепление балкона: цена×город, value=0.5"
turnkey,/uteplenie-balkona/pod-klyuch/v-{city}/,40,0,40,0%,"Утепление балкона: под ключ×город, priceMult=1"
price,/zamena-okon/cena/v-{city}/,40,0,40,0%,"Замена окон: цена×город, value=0.65"
turnkey,/zamena-okon/pod-klyuch/v-{city}/,40,0,40,0%,"Замена окон: под ключ×город, priceMult=1"
price,/demontazh-rabot/cena/v-{city}/,40,0,40,0%,"Демонтажные работы: цена×город, value=0.35"
turnkey,/demontazh-rabot/pod-klyuch/v-{city}/,40,0,40,0%,"Демонтажные работы: под ключ×город, priceMult=1"
price,/montazh-konditsionerov/cena/v-{city}/,40,0,40,0%,"Монтаж кондиционеров: цена×город, value=0.55"
turnkey,/montazh-konditsionerov/pod-klyuch/v-{city}/,40,0,40,0%,"Монтаж кондиционеров: под ключ×город, priceMult=1"
price,/uteplenie-fasada/cena/v-{city}/,40,0,40,0%,"Утепление фасада: цена×город, value=0.55"
turnkey,/uteplenie-fasada/pod-klyuch/v-{city}/,40,0,40,0%,"Утепление фасада: под ключ×город, priceMult=1"