host,page_type,total_urls,indexable_urls,submitted_indexnow_24h,submitted_recrawl_24h,yandex_indexed_count,google_indexed_count,impressions_yandex,clicks_yandex,ctr_yandex,impressions_google,clicks_google,ctr_google,metrika_visits,leads,conversion_rate,estimated_value
rzn.kalkremont.ru,ALL,21,21,21,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
sam.dizayn-interyera-online.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
sam.dom-stroy-online.ru,ALL,0,0,0,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
sam.dveri-stalnye24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,5,0,0,0
sam.ipoteka-remont.ru,home,1,1,,,,,,,,,,,0,0,0,0
sam.ipoteka-remont.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
sam.ipoteka-remont.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
sam.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
sam.kalkremont.ru,service-hub,5,5,,,,,,,,,,,0,0,0,0
sam.kalkremont.ru,city-leaf,40,40,,,,,,,,,,,0,0,0,0
sam.kalkremont.ru,deep-leaf,100,100,,,,,,,,,,,0,0,0,0
sam.kalkremont.ru,price,1,1,,,,,,,,,,,0,0,0,0
sam.kalkremont.ru,content,29,29,,,,,,,,,,,0,0,0,0
sam.kalkremont.ru,ALL,176,176,176,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
sam.kamin-zakaz24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,6,0,0,0
sam.kuhni-zakaz-online.ru,home,1,1,,,,,,,,,,,0,0,0,0
sam.kuhni-zakaz-online.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
sam.kuhni-zakaz-online.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
sam.kupeshkafy24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
sam.natyazhnoi-master24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,7,0,0,0
sam.okna-pvh-online.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,7,0,0,0
sam.perevodkvartiry.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
santehnika.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
santehnika.kalkremont.ru,service-hub,6,6,,,,,,,,,,,0,0,0,0
santehnika.kalkremont.ru,city-leaf,485,485,,,,,,,,,,,0,0,0,0
santehnika.kalkremont.ru,ALL,492,492,492,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
sar.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
sar.kalkremont.ru,service-hub,5,5,,,,,,,,,,,0,0,0,0
sar.kalkremont.ru,city-leaf,20,20,,,,,,,,,,,0,0,0,0
sar.kalkremont.ru,ALL,26,26,26,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
sovety.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
sovety.kalkremont.ru,content,10,10,,,,,,,,,,,0,0,0,0
sovety.kalkremont.ru,ALL,11,11,11,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
spb.dizayn-interyera-online.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,6,0,0,0
spb.dom-stroy-online.ru,home,1,1,,,,,,,,,,,0,0,0,0
spb.dom-stroy-online.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
spb.dom-stroy-online.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
spb.dveri-stalnye24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,6,0,0,0
spb.ipoteka-remont.ru,home,1,1,,,,,,,,,,,0,2,0,1400
spb.ipoteka-remont.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
spb.ipoteka-remont.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,2,0,1400
spb.kalkremont.ru,home,1,1,,,,,,,,,,,1,0,0,0
spb.kalkremont.ru,service-hub,15,15,,,,,,,,,,,0,0,0,0
spb.kalkremont.ru,city-leaf,120,120,,,,,,,,,,,0,0,0,0
spb.kalkremont.ru,deep-leaf,300,300,,,,,,,,,,,0,0,0,0
spb.kalkremont.ru,price,1,1,,,,,,,,,,,0,0,0,0
spb.kalkremont.ru,ALL,437,437,437,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,1,0,0,0
spb.kamin-zakaz24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,3,0,0,0
spb.kuhni-zakaz-online.ru,home,1,1,,,,,,,,,,,0,0,0,0
spb.kuhni-zakaz-online.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
spb.kuhni-zakaz-online.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
spb.kupeshkafy24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
spb.natyazhnoi-master24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,8,0,0,0
spb.okna-pvh-online.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
spb.perevodkvartiry.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
styazhka.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
styazhka.kalkremont.ru,service-hub,6,6,,,,,,,,,,,0,0,0,0
styazhka.kalkremont.ru,city-leaf,444,444,,,,,,,,,,,0,0,0,0
styazhka.kalkremont.ru,ALL,451,451,451,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
tlt.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
tlt.kalkremont.ru,service-hub,3,3,,,,,,,,,,,0,0,0,0
tlt.kalkremont.ru,city-leaf,12,12,,,,,,,,,,,0,0,0,0
tlt.kalkremont.ru,ALL,16,16,16,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
tul.kalkremont.ru,home,1,1,,,,,,,,,,,3,0,0,0
tul.kalkremont.ru,service-hub,4,4,,,,,,,,,,,0,0,0,0
tul.kalkremont.ru,city-leaf,16,16,,,,,,,,,,,0,0,0,0
tul.kalkremont.ru,content,5,5,,,,,,,,,,,0,0,0,0
tul.kalkremont.ru,ALL,26,26,26,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,3,0,0,0
tyumen.dizayn-interyera-online.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
tyumen.dom-stroy-online.ru,ALL,0,0,0,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
tyumen.dveri-stalnye24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
tyumen.ipoteka-remont.ru,home,1,1,,,,,,,,,,,0,0,0,0
tyumen.ipoteka-remont.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
tyumen.ipoteka-remont.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
tyumen.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
tyumen.kalkremont.ru,service-hub,5,5,,,,,,,,,,,0,0,0,0
tyumen.kalkremont.ru,city-leaf,40,40,,,,,,,,,,,0,0,0,0
tyumen.kalkremont.ru,deep-leaf,100,100,,,,,,,,,,,0,0,0,0
tyumen.kalkremont.ru,price,1,1,,,,,,,,,,,0,0,0,0
tyumen.kalkremont.ru,ALL,147,147,147,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
tyumen.kamin-zakaz24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,3,0,0,0
tyumen.kuhni-zakaz-online.ru,home,1,1,,,,,,,,,,,0,0,0,0
tyumen.kuhni-zakaz-online.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
tyumen.kuhni-zakaz-online.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
tyumen.kupeshkafy24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,5,0,0,0
tyumen.natyazhnoi-master24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,5,0,0,0
tyumen.okna-pvh-online.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
tyumen.perevodkvartiry.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,3,0,0,0
uborka.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
uborka.kalkremont.ru,service-hub,5,5,,,,,,,,,,,0,0,0,0
uborka.kalkremont.ru,city-leaf,445,445,,,,,,,,,,,0,0,0,0
uborka.kalkremont.ru,ALL,451,451,451,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
ufa.dizayn-interyera-online.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
ufa.dom-stroy-online.ru,ALL,0,0,0,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
ufa.dveri-stalnye24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
ufa.ipoteka-remont.ru,home,1,1,,,,,,,,,,,0,0,0,0
ufa.ipoteka-remont.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
ufa.ipoteka-remont.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
ufa.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
ufa.kalkremont.ru,service-hub,6,6,,,,,,,,,,,0,0,0,0
ufa.kalkremont.ru,city-leaf,48,48,,,,,,,,,,,0,0,0,0
ufa.kalkremont.ru,deep-leaf,120,120,,,,,,,,,,,0,0,0,0
ufa.kalkremont.ru,price,1,1,,,,,,,,,,,0,0,0,0
ufa.kalkremont.ru,content,29,29,,,,,,,,,,,0,0,0,0
ufa.kalkremont.ru,ALL,205,205,205,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
ufa.kamin-zakaz24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,6,0,0,0
ufa.kuhni-zakaz-online.ru,home,1,1,,,,,,,,,,,0,0,0,0
ufa.kuhni-zakaz-online.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
ufa.kuhni-zakaz-online.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
ufa.kupeshkafy24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
ufa.natyazhnoi-master24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,19,0,0,0
ufa.okna-pvh-online.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,7,0,0,0
ufa.perevodkvartiry.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,5,0,0,0
vannye.kalkremont.ru,home,1,1,,,,,,,,,,,1,0,0,0
vannye.kalkremont.ru,service-hub,5,5,,,,,,,,,,,0,0,0,0
vannye.kalkremont.ru,city-leaf,445,445,,,,,,,,,,,0,0,0,0
vannye.kalkremont.ru,ALL,451,451,451,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,1,0,0,0
vlg.dizayn-interyera-online.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
vlg.dom-stroy-online.ru,ALL,0,0,0,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
vlg.dveri-stalnye24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,5,0,0,0
vlg.ipoteka-remont.ru,home,1,1,,,,,,,,,,,0,0,0,0
vlg.ipoteka-remont.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
vlg.ipoteka-remont.ru,ALL,5,5,5,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
vlg.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
vlg.kalkremont.ru,service-hub,6,6,,,,,,,,,,,0,0,0,0
vlg.kalkremont.ru,city-leaf,48,48,,,,,,,,,,,0,0,0,0
vlg.kalkremont.ru,deep-leaf,120,120,,,,,,,,,,,0,0,0,0
vlg.kalkremont.ru,price,1,1,,,,,,,,,,,0,0,0,0
vlg.kalkremont.ru,content,29,29,,,,,,,,,,,0,0,0,0
vlg.kalkremont.ru,ALL,205,205,205,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
vlg.kamin-zakaz24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
vlg.kuhni-zakaz-online.ru,home,1,1,,,,,,,,,,,0,0,0,0
vlg.kuhni-zakaz-online.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
vlg.kuhni-zakaz-online.ru,ALL,5,5,5,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
vlg.kupeshkafy24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,1,0,0,0
vlg.natyazhnoi-master24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,19,0,0,0
vlg.okna-pvh-online.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,6,0,0,0
vlg.perevodkvartiry.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,3,0,0,0
vrn.dizayn-interyera-online.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
vrn.dom-stroy-online.ru,ALL,0,0,0,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
vrn.dveri-stalnye24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,5,0,0,0
vrn.ipoteka-remont.ru,home,1,1,,,,,,,,,,,0,0,0,0
vrn.ipoteka-remont.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
vrn.ipoteka-remont.ru,ALL,5,5,5,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
vrn.kalkremont.ru,home,1,1,,,,,,,,,,,1,0,0,0
vrn.kalkremont.ru,service-hub,5,5,,,,,,,,,,,0,0,0,0
vrn.kalkremont.ru,city-leaf,40,40,,,,,,,,,,,0,0,0,0
vrn.kalkremont.ru,deep-leaf,100,100,,,,,,,,,,,0,0,0,0
vrn.kalkremont.ru,price,1,1,,,,,,,,,,,0,0,0,0
vrn.kalkremont.ru,content,29,29,,,,,,,,,,,0,0,0,0
vrn.kalkremont.ru,ALL,176,176,176,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,1,0,0,0
vrn.kamin-zakaz24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
vrn.kuhni-zakaz-online.ru,home,1,1,,,,,,,,,,,0,0,0,0
vrn.kuhni-zakaz-online.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
vrn.kuhni-zakaz-online.ru,ALL,5,5,5,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
vrn.kupeshkafy24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,5,0,0,0
vrn.natyazhnoi-master24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
vrn.okna-pvh-online.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,7,0,0,0
vrn.perevodkvartiry.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,1,0,0,0
vvo.kalkremont.ru,home,1,1,,,,,,,,,,,3,0,0,0
vvo.kalkremont.ru,service-hub,3,3,,,,,,,,,,,0,0,0,0
vvo.kalkremont.ru,city-leaf,12,12,,,,,,,,,,,0,0,0,0
vvo.kalkremont.ru,content,5,5,,,,,,,,,,,0,0,0,0
vvo.kalkremont.ru,ALL,21,21,21,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,3,0,0,0
www.kalkremont.ru,home,1,1,,,,,,,,,,,0,1,0,700
www.kalkremont.ru,service-hub,42,42,,,,,,,,,,,0,0,0,0
www.kalkremont.ru,city-leaf,3357,3357,,,,,,,,,,,0,0,0,0
www.kalkremont.ru,deep-leaf,5088,5088,,,,,,,,,,,0,0,0,0
www.kalkremont.ru,price,32,32,,,,,,,,,,,0,0,0,0
www.kalkremont.ru,content,520,520,,,,,,,,,,,0,0,0,0
www.kalkremont.ru,ALL,9040,9040,2000,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,1,0,700
yar.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
yar.kalkremont.ru,service-hub,6,6,,,,,,,,,,,0,0,0,0
yar.kalkremont.ru,city-leaf,24,24,,,,,,,,,,,0,0,0,0
yar.kalkremont.ru,ALL,31,31,31,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
TOTAL,ALL,55929,21498,40854,175,,n/a,0,0,0,n/a,n/a,n/a,681,8,0.0117,5600